name,nightly cost,category,superhost,url,guests_rental,total cost,reviews
♪ East Nashville spot 8 min to the city center ♪,Previous price:$74Discounted price:$54 / night,Entire apartment in Nashville,,/rooms/14852812?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,4 guests · 1 bedroom · 2 beds · 1 bath,Price:$224 totalShow details,Rating 4.68 out of 5;4.68456 reviews (456)Previous price:$74Discounted price:$54 / nightPrice:$224 totalShow details
Beautiful Musician's Guesthouse near Vanderbilt University,Price:$90 / night,Entire guesthouse in Nashville,PLUS,/rooms/plus/17143440?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,2 guests · 1 bedroom · 1 bed · 1 bath,Price:$354 totalShow details,Rating 4.93 out of 5;4.93269 reviews (269)Price:$90 / nightPrice:$354 totalShow details
Music Row Getaway 9,Price:$65 / night,Entire apartment in Nashville,,/rooms/45833105?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,4 guests · 1 bedroom · 2 beds · 1 bath,Price:$267 totalShow details,Rating 5.0 out of 5;5.011 reviews (11)Price:$65 / nightPrice:$267 totalShow details
JG5 Jack Frost!!! Downtown Nashville!!!,Price:$53 / night,Entire apartment in Nashville,,/rooms/46917938?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,6 guests · Studio · 1 bed · 1 bath,Price:$237 totalShow details,Price:$53 / nightPrice:$237 totalShow details
"Private Suite in Beautiful Franklin, TN",Price:$68 / night,Private room in Franklin,SUPERHOST,/rooms/46680217?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,4 guests · 1 bedroom · 2 beds · 1.5 baths,Price:$232 totalShow details,Price:$68 / nightPrice:$232 totalShow details
Historic Beauty,Previous price:$113Discounted price:$77 / night,Entire house in Nashville,SUPERHOST,/rooms/33447521?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,2 guests · 1 bedroom · 1 bed · 1 bath,Price:$348 totalShow details,Rating 4.87 out of 5;4.8738 reviews (38)Previous price:$113Discounted price:$77 / nightPrice:$348 totalShow details
DS5 Solo Flight!!  Downtown Nashville!!,Price:$60 / night,Entire apartment in Nashville,,/rooms/46588461?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,4 guests · Studio · 2 beds · 1 bath,Price:$262 totalShow details,Price:$60 / nightPrice:$262 totalShow details
"Heart of Nashville, Crisp, Clean & Comfortable",Previous price:$122Discounted price:$96 / night,Entire house in Nashville,SUPERHOST,/rooms/22125239?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,4 guests · 1 bedroom · 2 beds · 1 bath,Price:$413 totalShow details,Rating 4.98 out of 5;4.98221 reviews (221)Previous price:$122Discounted price:$96 / nightPrice:$413 totalShow details
Comfy Private Modern Studio-attached w/own entry,Price:$58 / night,Entire guest suite in Nashville,SUPERHOST,/rooms/15283315?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,2 guests · 1 bedroom · 1 bed · 1 bath,Price:$266 totalShow details,Rating 4.98 out of 5;4.98177 reviews (177)Price:$58 / nightPrice:$266 totalShow details
1 BR Apartment!! Just 2 miles to Downtown!,Previous price:$90Discounted price:$65 / night,Entire apartment in Nashville,,/rooms/44064578?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,4 guests · 1 bedroom · 1 bed · 1 bath,Price:$265 totalShow details,Rating 4.0 out of 5;4.010 reviews (10)Previous price:$90Discounted price:$65 / nightPrice:$265 totalShow details
Music Row Villas 7,Price:$66 / night,Entire apartment in Nashville,,/rooms/45773999?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,4 guests · 1 bedroom · 2 beds · 1 bath,Price:$272 totalShow details,Rating 4.83 out of 5;4.836 reviews (6)Price:$66 / nightPrice:$272 totalShow details
Lovely 5 Points Studio,Previous price:$71Discounted price:$60 / night,Entire guest suite in Nashville,,/rooms/38324751?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,2 guests · Studio · 1 bed · 1 bath,Price:$264 totalShow details,Rating 4.66 out of 5;4.6629 reviews (29)Previous price:$71Discounted price:$60 / nightPrice:$264 totalShow details
Gatsby Downtown Oasis,Previous price:$105Discounted price:$93 / night,Entire apartment in Nashville,SUPERHOST,/rooms/43480436?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,4 guests · 1 bedroom · 2 beds · 1 bath,Price:$434 totalShow details,Rating 4.90 out of 5;4.9031 reviews (31)Previous price:$105Discounted price:$93 / nightPrice:$434 totalShow details
Lovely hands cleaning... sanitize and disinfect,Price:$75 / night,Entire house in Nashville,,/rooms/46920453?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,14 guests · 1 bedroom · 1 bath,Price:$257 totalShow details,Price:$75 / nightPrice:$257 totalShow details
Tiny haven,Price:$54 / night,Entire apartment in Nashville,SUPERHOST,/rooms/20137844?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,4 guests · 2 bedrooms · 4 beds · 1 bath,Price:$259 totalShow details,Rating 4.93 out of 5;4.93193 reviews (193)Price:$54 / nightPrice:$259 totalShow details
Charming and Cozy,Price:$40 / night,Private room in Nashville,SUPERHOST,/rooms/46837226?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,1 guest · 1 bedroom · 0 beds · 1 private bath,Price:$183 totalShow details,Price:$40 / nightPrice:$183 totalShow details
Nashville Getaway- Free Parking & Amazing Pool,Previous price:$109Discounted price:$70 / night,Entire apartment in Nashville,,/rooms/43798506?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,4 guests · Studio · 1 bed · 1 bath,Price:$307 totalShow details,Rating 4.71 out of 5;4.7128 reviews (28)Previous price:$109Discounted price:$70 / nightPrice:$307 totalShow details
"Admire Skyline Views of Music City from a Hip, Airy Condo",Price:$71 / night,Entire condominium in Nashville,PLUS,/rooms/plus/29923906?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,4 guests · 1 bedroom · 2 beds · 1 bath,Price:$367 totalShow details,Rating 4.92 out of 5;4.9279 reviews (79)Price:$71 / nightPrice:$367 totalShow details
The Comfy Magnolia Room at the Iris Motel,Previous price:$86Discounted price:$65 / night,Entire apartment in Nashville,,/rooms/32284941?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,4 guests · Studio · 2 beds · 1 bath,Price:$251 totalShow details,Rating 4.66 out of 5;4.6653 reviews (53)Previous price:$86Discounted price:$65 / nightPrice:$251 totalShow details
Sonder *Free Parking* Studio + Terrace,Previous price:$154Discounted price:$80 / night,Entire apartment in Nashville,SUPERHOST,/rooms/36277473?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=0b15e56d-e90d-43bb-8035-57226f28162e,2 guests · Studio · 1 bed · 1 bath,Price:$300 totalShow details,Rating 4.61 out of 5;4.6133 reviews (33)Previous price:$154Discounted price:$80 / nightPrice:$300 totalShow details
Lovely 5 Points Studio,Previous price:$71Discounted price:$60 / night,Entire guest suite in Nashville,,/rooms/38324751?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,2 guests · Studio · 1 bed · 1 bath,Price:$264 totalShow details,Rating 4.66 out of 5;4.6629 reviews (29)Previous price:$71Discounted price:$60 / nightPrice:$264 totalShow details
"Admire Skyline Views of Music City from a Hip, Airy Condo",Price:$71 / night,Entire condominium in Nashville,PLUS,/rooms/plus/29923906?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,4 guests · 1 bedroom · 2 beds · 1 bath,Price:$367 totalShow details,Rating 4.92 out of 5;4.9279 reviews (79)Price:$71 / nightPrice:$367 totalShow details
The Johnny Cash Suite,Price:$80 / night,Entire guest suite in Nashville,SUPERHOST,/rooms/26900742?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,3 guests · 1 bedroom · 2 beds · 1 bath,Price:$320 totalShow details,Rating 4.89 out of 5;4.89177 reviews (177)Price:$80 / nightPrice:$320 totalShow details
Modern Nashville Dwelling super pool/free parking,Price:$77 / night,Entire apartment in Nashville,,/rooms/43898864?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,4 guests · 1 bedroom · 1 bed · 1 bath,Price:$332 totalShow details,Price:$77 / nightPrice:$332 totalShow details
Country Suite w/private entrance. NO Shared spaces,Price:$61 / night,Private room in Nashville,SUPERHOST,/rooms/33453266?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$220 totalShow details,Rating 4.97 out of 5;4.9760 reviews (60)Price:$61 / nightPrice:$220 totalShow details
"Heart of Nashville, Crisp, Clean & Comfortable",Previous price:$122Discounted price:$96 / night,Entire house in Nashville,SUPERHOST,/rooms/22125239?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,4 guests · 1 bedroom · 2 beds · 1 bath,Price:$413 totalShow details,Rating 4.98 out of 5;4.98221 reviews (221)Previous price:$122Discounted price:$96 / nightPrice:$413 totalShow details
"Modern Condo & Pool,Downtown Close!",Price:$91 / night,Entire apartment in Nashville,,/rooms/4033674?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,3 guests · Studio · 1 bed · 1 bath,Price:$356 totalShow details,Rating 4.64 out of 5;4.64648 reviews (648)Price:$91 / nightPrice:$356 totalShow details
Gatsby Downtown Oasis,Previous price:$105Discounted price:$93 / night,Entire apartment in Nashville,SUPERHOST,/rooms/43480436?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,4 guests · 1 bedroom · 2 beds · 1 bath,Price:$434 totalShow details,Rating 4.90 out of 5;4.9031 reviews (31)Previous price:$105Discounted price:$93 / nightPrice:$434 totalShow details
Minutes From Downtown - Newly Remodeled Studio,Price:$83 / night,Entire condominium in Nashville,SUPERHOST,/rooms/42922302?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,4 guests · Studio · 1 bed · 1 bath,Price:$342 totalShow details,Rating 4.96 out of 5;4.9625 reviews (25)Price:$83 / nightPrice:$342 totalShow details
Posh/Luxury/Hot Tub 10%Off,Price:$57 / night,Private room in Nashville,SUPERHOST,/rooms/27546946?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,2 guests · 1 bedroom · 1 bed · 1 shared bath,Price:$217 totalShow details,Rating 4.87 out of 5;4.87110 reviews (110)Price:$57 / nightPrice:$217 totalShow details
Sonder *Free Parking* Studio + Terrace,Previous price:$154Discounted price:$80 / night,Entire apartment in Nashville,SUPERHOST,/rooms/36277473?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,2 guests · Studio · 1 bed · 1 bath,Price:$300 totalShow details,Rating 4.61 out of 5;4.6133 reviews (33)Previous price:$154Discounted price:$80 / nightPrice:$300 totalShow details
✧Private Suite & entrance✧2 mi➝DT+coffee+comfy bed,Price:$77 / night,Entire guest suite in Nashville,SUPERHOST,/rooms/26764632?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,3 guests · 1 bedroom · 1 bed · 1 bath,Price:$305 totalShow details,Rating 4.92 out of 5;4.92170 reviews (170)Price:$77 / nightPrice:$305 totalShow details
Three Blocks from Broadway-Walk to It All Y'all!,Previous price:$199Discounted price:$86 / night,Entire apartment in Nashville,,/rooms/30540635?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,4 guests · 1 bedroom · 1 bed · 1 bath,Price:$438 totalShow details,Rating 4.64 out of 5;4.6487 reviews (87)Previous price:$199Discounted price:$86 / nightPrice:$438 totalShow details
Private En Suite & Entrance in East Nashville,Price:$49 / night,Private room in Nashville,SUPERHOST,/rooms/13505557?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$213 totalShow details,Rating 4.96 out of 5;4.96217 reviews (217)Price:$49 / nightPrice:$213 totalShow details
Flatrock Cottage,Previous price:$82Discounted price:$62 / night,Entire guest suite in Nashville,SUPERHOST,/rooms/23395469?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,4 guests · 1 bedroom · 1 bed · 1 bath,Price:$281 totalShow details,Rating 4.97 out of 5;4.97113 reviews (113)Previous price:$82Discounted price:$62 / nightPrice:$281 totalShow details
Modern Apartment 1.5 Miles from Downtown Franklin,Previous price:$89Discounted price:$70 / night,Entire guest suite in Franklin,SUPERHOST,/rooms/42775327?check_in=2020-12-24&check_out=2020-12-27&previous_page_section_name=1000&federated_search_id=1aab2b56-3395-4446-a118-6a30bfd51a03,3 guests · 1 bedroom · 2 beds · 1 bath,Price:$297 totalShow details,Rating 5.0 out of 5;5.017 reviews (17)Previous price:$89Discounted price:$70 / nightPrice:$297 totalShow details
