name,nightly cost,category,superhost,url,guests_rental,total cost,reviews
Cheap but awesome! - B5 Room 1,Price:$25 / night,Private room in Nashville,,/rooms/35917515?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,2 guests · 1 bedroom · 1 bed · 1.5 shared baths,Price:$108 totalShow details,Rating 4.52 out of 5;4.5227 reviews (27)Price:$25 / nightPrice:$108 totalShow details
Downtown Hostel (Coed Shared Dorm),Price:$38 / night,Hotel room in Nashville,SUPERHOST,/rooms/3717911?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,1 guest · 1 bedroom · 8 beds · 7 baths,Price:$115 totalShow details,Rating 4.77 out of 5;4.77639 reviews (639)Price:$38 / nightPrice:$115 totalShow details
"Quiet, country setting with sleeping for up to 4!",Price:$35 / night,Private room in Hendersonville,,/rooms/39691633?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,4 guests · 2 bedrooms · 2 beds · 1 private bath,Price:$120 totalShow details,Rating 5.0 out of 5;5.03 reviews (3)Price:$35 / nightPrice:$120 totalShow details
todas las comodidades a 5 minutos del downtown,Price:$25 / night,Private room in Nashville,SUPERHOST,/rooms/39343114?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,1 guest · 1 bedroom · 1 bed · 1 shared bath,Price:$98 totalShow details,Rating 4.80 out of 5;4.8015 reviews (15)Price:$25 / nightPrice:$98 totalShow details
Nice comfortable room with a double futon..,Price:$31 / night,Private room in Franklin,SUPERHOST,/rooms/11923339?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,2 guests · 1 bedroom · 0 beds · 1 private bath,Price:$119 totalShow details,Rating 5.0 out of 5;5.023 reviews (23)Price:$31 / nightPrice:$119 totalShow details
Downtown Hostel (Female-Only Shared Dorm),Price:$38 / night,Hostel beds in Nashville,SUPERHOST,/rooms/15157178?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,1 guest · 1 bedroom · 8 beds · 7 shared baths,Price:$115 totalShow details,Rating 4.80 out of 5;4.80402 reviews (402)Price:$38 / nightPrice:$115 totalShow details
"Clean, cozy and comfortable",Price:$35 / night,Private room in Murfreesboro,SUPERHOST,/rooms/19782732?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$148 totalShow details,Rating 4.98 out of 5;4.98256 reviews (256)Price:$35 / nightPrice:$148 totalShow details
"A great value, about 20 min to Nashville, Opryland",Price:$30 / night,Private room in Goodlettsville,SUPERHOST,/rooms/10253419?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$108 totalShow details,Rating 4.82 out of 5;4.82157 reviews (157)Price:$30 / nightPrice:$108 totalShow details
Private room  Share bathroom,Price:$30 / night,Private room in Murfreesboro,,/rooms/39048339?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,2 guests · 1 bedroom · 1 bed · 1 shared bath,Price:$131 totalShow details,Rating 4.61 out of 5;4.6141 reviews (41)Price:$30 / nightPrice:$131 totalShow details
"""The Lavender Room""",Price:$35 / night,Private room in Murfreesboro,SUPERHOST,/rooms/35563864?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,2 guests · 1 bedroom · 1 bed · 1 shared bath,Price:$143 totalShow details,Rating 5.0 out of 5;5.026 reviews (26)Price:$35 / nightPrice:$143 totalShow details
Northwoods cottage 23.2 mi Nashville 28 min drive,Price:$40 / night,Tiny house in White House,SUPERHOST,/rooms/31254209?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,4 guests · 2 bedrooms · 2 beds · 1 bath,Price:$171 totalShow details,Rating 4.85 out of 5;4.8548 reviews (48)Price:$40 / nightPrice:$171 totalShow details
"The Cozy Niche , special offers , yoga friendly,",Price:$39 / night,Private room in Murfreesboro,SUPERHOST,/rooms/21448158?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,1 guest · 1 bedroom · 1 bed · 1 shared bath,Price:$162 totalShow details,Rating 4.95 out of 5;4.9538 reviews (38)Price:$39 / nightPrice:$162 totalShow details
Charming and Cozy,Price:$40 / night,Private room in Nashville,SUPERHOST,/rooms/46837226?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,1 guest · 1 bedroom · 0 beds · 1 private bath,Price:$183 totalShow details,Price:$40 / nightPrice:$183 totalShow details
Music City Seamstress Room 2,Price:$39 / night,Private room in Nashville,SUPERHOST,/rooms/16659281?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,2 guests · 1 bedroom · 1 bed · 1.5 shared baths,Price:$168 totalShow details,Rating 5.0 out of 5;5.031 reviews (31)Price:$39 / nightPrice:$168 totalShow details
Nashville Wooded Hilltop Primitive Camping Maple,Previous price:$25Discounted price:$23 / night,Campsite in Goodlettsville,SUPERHOST,/rooms/20551388?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,10 guests · 2 bedrooms · 0 beds · 0 baths,Price:$77 totalShow details,Rating 4.82 out of 5;4.8222 reviews (22)Previous price:$25Discounted price:$23 / nightPrice:$77 totalShow details
small blue bedroom,Price:$32 / night,Private room in Hermitage,,/rooms/19408522?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,2 guests · 1 bedroom · 1 bed · 1.5 shared baths,Price:$127 totalShow details,Rating 4.58 out of 5;4.5833 reviews (33)Price:$32 / nightPrice:$127 totalShow details
Pet Hotel at Burwood Hall Country Estate,Price:$10 / night,Tiny house in Thompson's Station,SUPERHOST,/rooms/30421427?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,1 guest · Studio · 1 bed · 0 baths,Price:$91 totalShow details,Price:$10 / nightPrice:$91 totalShow details
big blue bedroom,Price:$32 / night,Private room in Hermitage,,/rooms/19192496?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,6 guests · 1 bedroom · 2 beds · 1.5 shared baths,Price:$127 totalShow details,Rating 4.61 out of 5;4.6131 reviews (31)Price:$32 / nightPrice:$127 totalShow details
Downtown Hostel (Male-Only Shared Dorm),Price:$38 / night,Hostel beds in Nashville,SUPERHOST,/rooms/15158385?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,1 guest · 1 bedroom · 8 beds · 7 shared baths,Price:$115 totalShow details,Rating 4.78 out of 5;4.78179 reviews (179)Price:$38 / nightPrice:$115 totalShow details
A very quiet area close to everything.,Previous price:$40Discounted price:$35 / night,Private room in Nashville,,/rooms/36836980?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=f113d8ed-3c42-4e49-81b2-7ce2fa7fdcf4,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$129 totalShow details,Rating 4.92 out of 5;4.9236 reviews (36)Previous price:$40Discounted price:$35 / nightPrice:$129 totalShow details
Music City Seamstress Room 1,Price:$39 / night,Private room in Nashville,SUPERHOST,/rooms/17159543?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e62943a5-df5f-4f5d-8207-7416c5d3acc6,2 guests · 1 bedroom · 1 bed · 1.5 shared baths,Price:$168 totalShow details,Rating 4.87 out of 5;4.87104 reviews (104)Price:$39 / nightPrice:$168 totalShow details
Nashville Primitive Wooded Camping Sassafras,Previous price:$25Discounted price:$23 / night,Campsite in Goodlettsvilleville,SUPERHOST,/rooms/38236581?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e62943a5-df5f-4f5d-8207-7416c5d3acc6,10 guests · Studio · 0 beds · 0 baths,Price:$77 totalShow details,Rating 5.0 out of 5;5.05 reviews (5)Previous price:$25Discounted price:$23 / nightPrice:$77 totalShow details
Camping or Campers/RV parking Tulip Grove,Price:$19 / night,Campsite in Nashville,,/rooms/39991131?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e62943a5-df5f-4f5d-8207-7416c5d3acc6,6 guests · 1 bedroom,Price:$88 totalShow details,Price:$19 / nightPrice:$88 totalShow details
RV/Camper Parking,Price:$35 / night,Campsite in Nashville,,/rooms/39386163?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e62943a5-df5f-4f5d-8207-7416c5d3acc6,6 guests · 1 bedroom · 1 bed · 1 bath,Price:$143 totalShow details,Price:$35 / nightPrice:$143 totalShow details
Studio-apartment feeling,Price:$40 / night,Private room in Murfreesboro,SUPERHOST,/rooms/28663288?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e62943a5-df5f-4f5d-8207-7416c5d3acc6,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$165 totalShow details,Rating 5.0 out of 5;5.021 reviews (21)Price:$40 / nightPrice:$165 totalShow details
Luggage Storage For Your Last Day In Nash!,Price:$10 / night,Shared room in Nashville,,/rooms/45712327?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e62943a5-df5f-4f5d-8207-7416c5d3acc6,1 guest · 1 bedroom · 1 bed · 0 shared baths,Price:$34 totalShow details,Price:$10 / nightPrice:$34 totalShow details
"Private   BR Quiet neighborhood, close to lake.",Price:$37 / night,Private room in Hendersonville,,/rooms/43616563?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e62943a5-df5f-4f5d-8207-7416c5d3acc6,4 guests · 1 bedroom · 2 beds · 1 private bath,Price:$149 totalShow details,Price:$37 / nightPrice:$149 totalShow details
Primitive Camp Site. 45 min west of Nashville,Price:$30 / night,Campsite in Nashville,,/rooms/5500808?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e62943a5-df5f-4f5d-8207-7416c5d3acc6,12 guests · Studio · 0 beds · 0 baths,Price:$104 totalShow details,Rating 5.0 out of 5;5.012 reviews (12)Price:$30 / nightPrice:$104 totalShow details
Welcome to the Wolfe family home,Price:$40 / night,Private room in Nashville,,/rooms/43938354?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e62943a5-df5f-4f5d-8207-7416c5d3acc6,2 guests · 1 bedroom · 1 bed · 1 bath,Price:$194 totalShow details,Price:$40 / nightPrice:$194 totalShow details
"RV Camper Pad  Nashville / Gallatin, Lake Area",Price:$26 / night,Camper/RV in Gallatin,,/rooms/43035634?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e62943a5-df5f-4f5d-8207-7416c5d3acc6,3 guests · 1 bedroom · 1 bed · 1 bath,Price:$89 totalShow details,Price:$26 / nightPrice:$89 totalShow details
Fork Inn Log Cabin annex - hammocks & tent camping,Previous price:$40Discounted price:$30 / night,Private room in Franklin,,/rooms/28892408?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e62943a5-df5f-4f5d-8207-7416c5d3acc6,2 guests · 1 bedroom · 1 bed · 1 shared bath,Price:$114 totalShow details,Previous price:$40Discounted price:$30 / nightPrice:$114 totalShow details
Stow Your Bags On Your Last Day In Nash!,Price:$10 / night,Shared room in Nashville,,/rooms/28812586?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e62943a5-df5f-4f5d-8207-7416c5d3acc6,1 guest · 1 bedroom · 1 bed · 1 shared bath,Price:$34 totalShow details,Price:$10 / nightPrice:$34 totalShow details
RV/Camper Parking next to Long Hunter State Park,Price:$19 / night,Campsite in Nashville,,/rooms/39968681?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e62943a5-df5f-4f5d-8207-7416c5d3acc6,6 guests · 1 bedroom · 1 bed · 0 baths,Price:$88 totalShow details,Price:$19 / nightPrice:$88 totalShow details
Where home is felt loved,Price:$40 / night,Private room in Murfreesboro,,/rooms/35124684?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e62943a5-df5f-4f5d-8207-7416c5d3acc6,3 guests · 2 bedrooms · 1 bed · 1 bath,Price:$137 totalShow details,Price:$40 / nightPrice:$137 totalShow details
WoodSong Farm Private Entrance near Nashville,Price:$59 / night,Farm stay in Smyrna,SUPERHOST,/rooms/33906019?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,4 guests · 1 bedroom · 3 beds · 1 bath,Price:$202 totalShow details,Rating 4.90 out of 5;4.9082 reviews (82)Price:$59 / nightPrice:$202 totalShow details
Percy Priest Pad,Price:$42 / night,Private room in Nashville,SUPERHOST,/rooms/20991153?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,2 guests · 1 bedroom · 1 bed · 1 shared bath,Price:$161 totalShow details,Rating 4.84 out of 5;4.8445 reviews (45)Price:$42 / nightPrice:$161 totalShow details
Franklin Home - Very Private,Price:$45 / night,Private room in Franklin,SUPERHOST,/rooms/19828681?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$200 totalShow details,Rating 4.94 out of 5;4.9447 reviews (47)Price:$45 / nightPrice:$200 totalShow details
House of Welcomes,Price:$55 / night,Private room in Nashville,SUPERHOST,/rooms/7474446?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,4 guests · 1 bedroom · 1 bed · 1 private bath,Price:$211 totalShow details,Rating 4.95 out of 5;4.95314 reviews (314)Price:$55 / nightPrice:$211 totalShow details
Room At Eastland - Your totally private room!,Price:$45 / night,Private room in Nashville,SUPERHOST,/rooms/2473234?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$234 totalShow details,Rating 4.96 out of 5;4.96112 reviews (112)Price:$45 / nightPrice:$234 totalShow details
"The ""Hillbilly"" country retreat 30 min to downtown",Price:$59 / night,Entire guesthouse in Pegram,SUPERHOST,/rooms/26496915?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,2 guests · 1 bedroom · 1 bed · 1 bath,Price:$259 totalShow details,Rating 4.97 out of 5;4.9778 reviews (78)Price:$59 / nightPrice:$259 totalShow details
private room just south of downtown Nashville,Price:$50 / night,Private room in Nashville,SUPERHOST,/rooms/19507454?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,4 guests · 2 bedrooms · 2 beds · 1.5 shared baths,Price:$205 totalShow details,Rating 4.95 out of 5;4.9562 reviews (62)Price:$50 / nightPrice:$205 totalShow details
Hospitable Paradise B+B,Price:$45 / night,Private room in Nashville,,/rooms/14262250?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,3 guests · 1 bedroom · 2 beds · 2 baths,Price:$154 totalShow details,Rating 5.0 out of 5;5.07 reviews (7)Price:$45 / nightPrice:$154 totalShow details
"Trendy & Cozy Room,Priv. Bath 5 mins from Downtown",Price:$51 / night,Private room in Nashville,,/rooms/22954500?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,2 guests · 1 bedroom · 1 bed · 1 shared bath,Price:$196 totalShow details,Rating 4.82 out of 5;4.82154 reviews (154)Price:$51 / nightPrice:$196 totalShow details
Charming Brentwood Escape,Price:$55 / night,Private room in Brentwood,SUPERHOST,/rooms/26576101?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$205 totalShow details,Rating 4.88 out of 5;4.88142 reviews (142)Price:$55 / nightPrice:$205 totalShow details
"Cozy wonderful home near
all conviences",Price:$44 / night,Private room in Brentwood,,/rooms/30885780?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$175 totalShow details,Price:$44 / nightPrice:$175 totalShow details
Asher House 2,Price:$49 / night,Private room in Nashville,SUPERHOST,/rooms/28916403?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$196 totalShow details,Rating 5.0 out of 5;5.030 reviews (30)Price:$49 / nightPrice:$196 totalShow details
Midtown Hostel (COED Shared Dorm),Price:$46 / night,Hotel room in Nashville,,/rooms/29983401?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,1 guest · 1 bedroom · 4 beds · 1 bath,Price:$137 totalShow details,Rating 4.72 out of 5;4.7243 reviews (43)Price:$46 / nightPrice:$137 totalShow details
CUTIE HOME ANTIOCH       #2019023052,Price:$45 / night,Private room in Nashville,,/rooms/24136182?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,1 guest · 1 bedroom · 1 bed · 1 shared bath,Price:$163 totalShow details,Rating 4.35 out of 5;4.3581 reviews (81)Price:$45 / nightPrice:$163 totalShow details
Franklin (private room) in single family home,Price:$49 / night,Private room in Franklin,,/rooms/30123553?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$192 totalShow details,Rating 5.0 out of 5;5.075 reviews (75)Price:$49 / nightPrice:$192 totalShow details
La Vergne townhouse - close to nashville,Price:$42 / night,Private room in La Vergne,,/rooms/43619615?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,2 guests · 1 bedroom · 1 private bath,Price:$144 totalShow details,Rating 4.71 out of 5;4.717 reviews (7)Price:$42 / nightPrice:$144 totalShow details
Country Retreat at Historic Gray Gables BNB,Price:$52 / night,Private room in Goodlettsville,SUPERHOST,/rooms/28107574?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,3 guests · Studio · 2 beds · 1 private bath,Price:$235 totalShow details,Rating 4.93 out of 5;4.9340 reviews (40)Price:$52 / nightPrice:$235 totalShow details
Midtown Hostel (FEMALE-ONLY Shared Dorm),Price:$46 / night,Hotel room in Nashville,,/rooms/29985667?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,1 guest · 1 bedroom · 4 beds · 1 bath,Price:$137 totalShow details,Rating 4.61 out of 5;4.6131 reviews (31)Price:$46 / nightPrice:$137 totalShow details
Room by the lake,Price:$60 / night,Private room in Nashville,SUPERHOST,/rooms/24347645?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$213 totalShow details,Rating 4.84 out of 5;4.84143 reviews (143)Price:$60 / nightPrice:$213 totalShow details
Spacious Mid Century Modern Suite!,Price:$56 / night,Private room in Goodlettsville,SUPERHOST,/rooms/17155168?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e6fef9d8-75e0-4a79-bb26-783a05198dea,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$237 totalShow details,Rating 4.94 out of 5;4.94188 reviews (188)Price:$56 / nightPrice:$237 totalShow details
Beautiful retreat near Nashville.,Previous price:$62Discounted price:$55 / night,Private room in Ashland City,SUPERHOST,/rooms/35068850?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e970ce6d-22d3-4cb3-9ffc-20d90c8b6778,4 guests · 2 bedrooms · 2 beds · 1 private bath,Price:$217 totalShow details,Rating 4.91 out of 5;4.9147 reviews (47)Previous price:$62Discounted price:$55 / nightPrice:$217 totalShow details
Nashville Ballet Room. CLEAN*,Price:$55 / night,Private room in Nashville,SUPERHOST,/rooms/21682850?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e970ce6d-22d3-4cb3-9ffc-20d90c8b6778,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$200 totalShow details,Rating 4.97 out of 5;4.97137 reviews (137)Price:$55 / nightPrice:$200 totalShow details
The Minimalist Room and Bath,Price:$50 / night,Private room in Nashville,,/rooms/38306255?check_in=2021-04-08&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=e970ce6d-22d3-4cb3-9ffc-20d90c8b6778,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$171 totalShow details,Rating 5.0 out of 5;5.04 reviews (4)Price:$50 / nightPrice:$171 totalShow details
